Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/16/2012,0:00,6.6,5.0,90,7,25.0,101.52,Clear
9/16/2012,1:00,6.1,5.2,94,9,25.0,101.49,Clear
9/16/2012,2:00,6.5,5.6,94,6,25.0,101.46,Clear
9/16/2012,3:00,6.7,5.6,93,7,25.0,101.44,Clear
9/16/2012,4:00,7.3,6.2,93,9,25.0,101.43,Clear
9/16/2012,5:00,4.9,4.6,98,9,25.0,101.45,Clear
9/16/2012,6:00,5.8,4.9,94,9,48.3,101.53,Clear
9/16/2012,7:00,8.7,6.5,86,9,48.3,101.55,Clear
9/16/2012,8:00,11.7,4.5,61,9,48.3,101.58,Clear
9/16/2012,9:00,13.1,3.0,50,19,48.3,101.57,Mainly Clear
9/16/2012,10:00,14.0,4.3,52,20,48.3,101.53,Mainly Clear
9/16/2012,11:00,14.9,3.9,48,20,48.3,101.49,Mainly Clear
9/16/2012,12:00,15.3,3.2,44,19,48.3,101.44,Mainly Clear
9/16/2012,13:00,15.7,2.9,42,24,48.3,101.35,Mainly Clear
9/16/2012,14:00,16.6,3.8,42,24,48.3,101.3,Mainly Clear
9/16/2012,15:00,16.7,3.6,42,19,48.3,101.25,Clear
9/16/2012,16:00,16.6,3.0,40,15,48.3,101.2,Clear
9/16/2012,17:00,16.6,3.6,42,20,48.3,101.17,Clear
9/16/2012,18:00,15.5,3.2,44,11,48.3,101.16,Clear
9/16/2012,19:00,14.2,3.9,50,6,25.0,101.18,Mainly Clear
9/16/2012,20:00,12.5,4.6,59,6,25.0,101.18,Clear
9/16/2012,21:00,12.8,5.4,61,6,25.0,101.18,Clear
9/16/2012,22:00,13.1,5.4,60,6,25.0,101.2,Clear
9/16/2012,23:00,12.1,5.6,64,6,25.0,101.21,Clear
9/17/2012,0:00,11.5,8.6,82,4,25.0,101.2,Clear
9/17/2012,1:00,10.1,8.4,89,4,25.0,101.21,Clear
9/17/2012,2:00,10.1,7.8,86,6,25.0,101.18,Clear
9/17/2012,3:00,10.1,8.4,89,7,25.0,101.16,Mostly Cloudy
9/17/2012,9:00,16.8,13.1,79,13,24.1,101.13,Mainly Clear
9/17/2012,10:00,18.2,13.6,75,17,24.1,101.11,Mainly Clear
9/17/2012,11:00,19.9,14.9,73,15,24.1,101.09,Mainly Clear
9/17/2012,12:00,21.8,14.2,62,17,24.1,101.06,Mainly Clear
9/17/2012,13:00,23.5,14.1,56,17,24.1,101.01,Mainly Clear
9/17/2012,14:00,24.6,12.6,47,15,24.1,100.95,Clear
9/17/2012,15:00,25.2,10.8,40,15,24.1,100.9,Clear
9/17/2012,16:00,25.0,12.5,46,13,24.1,100.87,Mainly Clear
9/17/2012,17:00,24.4,12.2,46,13,24.1,100.87,Clear
9/17/2012,18:00,22.1,14.8,63,15,24.1,100.88,Mainly Clear
9/17/2012,19:00,20.6,15.1,71,15,25.0,100.9,Mainly Clear
9/17/2012,20:00,20.0,15.4,75,13,25.0,100.88,Mainly Clear
9/17/2012,21:00,19.3,15.3,78,0,25.0,100.88,Mainly Clear
9/17/2012,22:00,18.8,15.1,79,6,25.0,100.83,Mainly Clear
9/17/2012,23:00,17.0,15.0,88,7,25.0,100.84,Mainly Clear
9/18/2012,0:00,16.2,14.2,88,6,25.0,100.84,Mainly Clear
9/18/2012,1:00,16.9,12.5,75,0,25.0,100.81,Mainly Clear
9/18/2012,2:00,16.6,12.1,75,9,25.0,100.75,Clear
9/18/2012,3:00,16.1,13.0,82,19,25.0,100.67,Mostly Cloudy
9/18/2012,4:00,16.2,12.9,81,17,25.0,100.59,Mostly Cloudy
9/18/2012,5:00,16.1,12.8,81,24,25.0,100.52,Mostly Cloudy
9/18/2012,6:00,16.4,12.9,80,22,24.1,100.49,Mainly Clear
9/18/2012,7:00,16.9,13.1,78,20,24.1,100.44,Mostly Cloudy
9/18/2012,17:00,20.4,17.9,86,35,24.1,99.01,Rain
9/18/2012,18:00,20.0,18.9,93,28,6.4,99.19,Rain
9/18/2012,19:00,19.4,18.5,95,22,25.0,99.28,Rain
9/18/2012,20:00,19.2,17.9,92,24,25.0,99.33,Rain
9/18/2012,22:00,18.8,17.6,93,30,9.7,99.44,Rain
9/18/2012,23:00,17.7,16.1,90,33,12.9,99.52,Rain
9/19/2012,1:00,11.0,9.1,88,28,25.0,99.95,Mostly Cloudy
9/19/2012,5:00,8.2,4.8,79,30,25.0,100.63,Mostly Cloudy
9/19/2012,7:00,8.2,4.1,75,33,24.1,100.92,Mostly Cloudy
9/19/2012,8:00,8.6,4.1,73,26,24.1,101.04,Mostly Cloudy
9/19/2012,9:00,9.2,4.1,70,32,24.1,101.13,Mostly Cloudy
9/19/2012,10:00,11.0,3.6,60,32,48.3,101.19,Mostly Cloudy
9/19/2012,11:00,12.0,3.9,58,24,48.3,101.29,Mostly Cloudy
9/19/2012,12:00,13.2,4.0,54,22,48.3,101.37,Mostly Cloudy
9/19/2012,13:00,13.6,2.7,48,24,48.3,101.41,Mostly Cloudy
9/19/2012,14:00,14.5,3.0,46,24,48.3,101.45,Mainly Clear
9/19/2012,15:00,14.3,0.9,40,15,48.3,101.49,Mainly Clear
9/19/2012,16:00,14.2,2.2,44,19,48.3,101.6,Mainly Clear
9/19/2012,17:00,12.7,2.3,49,11,48.3,101.66,Mainly Clear
9/19/2012,18:00,10.6,2.1,56,11,48.3,101.68,Clear
9/19/2012,19:00,10.0,2.5,60,4,25.0,101.75,Clear
9/19/2012,20:00,8.8,3.2,68,4,25.0,101.81,Clear
9/19/2012,21:00,9.5,2.7,62,0,25.0,101.83,Clear
9/19/2012,22:00,8.5,2.7,67,0,25.0,101.85,Clear
9/19/2012,23:00,9.8,3.1,63,4,25.0,101.88,Clear
9/20/2012,0:00,7.2,4.5,83,7,25.0,101.88,Clear
9/20/2012,1:00,8.4,4.0,74,6,25.0,101.92,Clear
9/20/2012,2:00,9.0,4.0,71,7,25.0,101.89,Clear
9/20/2012,3:00,8.0,4.8,80,4,25.0,101.91,Clear
9/20/2012,4:00,8.3,5.7,84,9,25.0,101.91,Clear
9/20/2012,5:00,7.7,6.5,92,6,25.0,101.95,Clear
9/20/2012,6:00,7.7,6.5,92,6,48.3,101.97,Clear
9/20/2012,7:00,9.6,6.9,83,9,48.3,101.95,Clear
9/20/2012,8:00,11.7,7.6,76,7,48.3,101.94,Clear
9/20/2012,9:00,12.8,7.6,71,15,48.3,101.85,Clear
9/20/2012,10:00,15.2,7.4,60,20,48.3,101.76,Clear
9/20/2012,11:00,16.2,6.9,54,19,48.3,101.65,Clear
9/20/2012,12:00,17.6,7.3,51,15,48.3,101.56,Clear
9/20/2012,13:00,18.3,6.7,47,22,48.3,101.48,Mainly Clear
9/20/2012,14:00,19.3,6.9,44,15,48.3,101.43,Mainly Clear
9/20/2012,15:00,19.1,7.5,47,20,48.3,101.39,Clear
9/20/2012,16:00,18.7,7.7,49,24,48.3,101.31,Clear
9/20/2012,17:00,18.0,7.9,52,26,48.3,101.31,Clear
9/20/2012,18:00,16.6,7.9,56,19,48.3,101.26,Clear
9/20/2012,19:00,16.2,7.9,58,24,25.0,101.27,Clear
9/20/2012,20:00,15.6,7.9,60,20,25.0,101.24,Mainly Clear
